id,sex,ageyr,agemo,school,grade,x1,x2,x3,x4,x5,x6,x7,x8,x9
23,1,12,9,Pasteur,7,6.6666667,8.5,4.125,2,3.25,2.1428571,4.4782609,5.45,7
24,1,12,11,Pasteur,7,5,6.25,1.875,3.3333333,5.75,3.1428571,3.4782609,4.6,5
25,2,12,8,Pasteur,7,3.8333333,5.5,1.625,2.6666667,3,1,5.826087,5.3,6.7777778
26,1,12,3,Pasteur,7,5.6666667,5.5,1.25,2.3333333,3.75,1.2857143,4.6956522,4.6,4.1388889
27,1,12,7,Pasteur,7,5.3333333,4,3.375,1.6666667,3.5,1.4285714,5.7391304,6.25,4.3333333
28,1,12,8,Pasteur,7,5.5,5.25,4.5,2.6666667,2.25,0.71428571,4.1304348,5.1,4.5277778
29,2,13,2,Pasteur,7,6,5,2.125,1.6666667,3,1.1428571,2.826087,5.55,4.4166667
30,2,12,5,Pasteur,7,4.6666667,6,4.25,2,3,2,5.1304348,5.85,8.6111111
31,2,12,2,Pasteur,7,5,4.5,0.75,2.6666667,3.25,1.8571429,4.6521739,4.85,5.4444444
33,2,12,7,Pasteur,7,3.5,5.75,1.375,2,3.5,1.8571429,4.826087,6.95,5.9722222
34,1,16,0,Pasteur,7,3,6,0.25,1.6666667,3,1,2.0434783,3.65,3.3611111
35,2,12,2,Pasteur,7,5,5.25,1.75,2.6666667,5.25,2,2.6956522,4.3,4.8055556
36,2,12,3,Pasteur,7,4.1666667,6,2.375,3.3333333,4.25,1.8571429,5.3913043,4.35,5.6388889
38,2,13,3,Pasteur,7,3.3333333,3.75,1.5,1.3333333,3,0.85714286,2.7826087,5.2,4.8333333
39,1,13,10,Pasteur,7,4.8333333,5.25,0.5,1.6666667,4.75,1.4285714,3.1304348,3.75,4.9166667
40,1,12,9,Pasteur,7,5.5,7,3.5,2.6666667,4,2,3.826087,4,5.3055556
41,2,12,8,Pasteur,7,3.8333333,4.5,2.25,3,3,1.7142857,4.0869565,3.5,5.0833333
42,2,12,6,Pasteur,7,6.3333333,4,3.875,4,5.25,3.2857143,5.5217391,5.45,5.1111111
43,1,12,5,Pasteur,7,5.8333333,7.75,2.5,3,5.25,3.1428571,3.2173913,4.5,4.8888889
44,2,12,1,Pasteur,7,3.8333333,5.75,1.625,2.6666667,4.25,2.1428571,4.9130435,5.1,4.6388889
45,2,13,6,Pasteur,7,3.1666667,5,1.25,1.6666667,4.25,1.5714286,2.826087,5.3,4.7777778
46,2,13,8,Pasteur,7,1.8333333,5.25,1,1.6666667,3.75,0.57142857,3.9565217,4.75,2.7777778
47,1,14,8,Pasteur,7,4.1666667,5.25,1.875,2,3,1.4285714,3.9565217,5.6,6.6666667
48,1,14,2,Pasteur,7,6.3333333,5.5,2.75,4.6666667,5.5,2,5.3913043,5,6.8611111
49,1,13,7,Pasteur,7,6,5.5,4.5,3,4.25,1.2857143,4.826087,5,5
50,1,13,5,Pasteur,7,7.1666667,8.5,4,0.66666667,1,1,3.3478261,6.35,6.2777778
51,2,13,6,Pasteur,7,3.1666667,4.75,1.375,2.6666667,3.25,1.2857143,6.1304348,8,5.4444444
52,1,12,11,Pasteur,7,4.3333333,5.5,2.75,2,2.25,1,5.6521739,5.9,6.0555556
54,2,13,2,Pasteur,7,4.5,6.25,1.125,3.6666667,5.5,2.1428571,2.5652174,4.8,5.5277778
55,1,13,7,Pasteur,7,5.5,5.75,3.75,1.6666667,2.25,0.14285714,2.3478261,5.05,5.5
56,1,12,4,Pasteur,7,7,6,2.125,2.3333333,4.5,1.4285714,3.6521739,5.15,4.7777778
57,1,15,7,Pasteur,7,3.8333333,7.5,3.25,0.66666667,1.5,0.14285714,3.2608696,4.2,5.3888889
58,1,13,4,Pasteur,7,5.1666667,4.75,1.75,3.3333333,3.5,2.1428571,3.4782609,5.1,4.1944444
60,1,12,8,Pasteur,7,5,6,4.125,2,4.5,2.1428571,4.173913,4.8,4.4166667
62,1,14,4,Pasteur,7,5.6666667,5.25,2.125,2.6666667,4.5,1.4285714,4.0434783,5.7,5.5555556
63,1,16,2,Pasteur,7,4,4.75,3.25,1.6666667,3,1.7142857,4.173913,5.25,5.6388889
64,1,13,3,Pasteur,7,5.8333333,5.25,3.875,2.6666667,5.5,2.4285714,3.4347826,5.8,4.75
65,2,14,0,Pasteur,7,3.8333333,6.5,2,1,2.5,1.2857143,3.3913043,4.55,4.8333333
66,1,15,3,Pasteur,7,4.1666667,5.75,1.75,1.3333333,3,1,3.5217391,6.15,3.9444444
67,2,12,5,Pasteur,7,5.3333333,5.75,3.375,4,5.5,2.5714286,5.2608696,6.2,6.1388889
68,2,12,9,Pasteur,7,4,6,3.625,2.6666667,5,2.1428571,4.9130435,5.35,4.7777778
69,2,12,10,Pasteur,7,5.3333333,6.75,1.375,1.6666667,2.5,0.71428571,2.6521739,3.85,5.3333333
70,2,13,11,Pasteur,7,5.3333333,5,1.25,3.3333333,4.5,2.4285714,5.5217391,5.45,5.8333333
71,2,13,1,Pasteur,7,3.6666667,5.75,3.625,2.6666667,5,1.4285714,3.3043478,4.5,5.0277778
72,2,12,11,Pasteur,7,6.5,6,2.5,3.6666667,4.5,3,5.6956522,5.4,6.3055556
73,1,14,11,Pasteur,7,4,9.25,4,3,3.75,1,3.6086957,5.75,6.1944444
74,2,13,0,Pasteur,7,4.6666667,5.75,3.625,2.6666667,2.75,1.8571429,3.8695652,6.1,4.25
75,2,13,9,Pasteur,7,2.8333333,5,0.875,3,2.5,1.5714286,6.826087,5.7,3.9166667
76,1,12,8,Pasteur,7,4.6666667,5,0.75,4.3333333,4,2.7142857,4.7391304,5.95,5.4166667
77,2,14,2,Pasteur,7,0.66666667,4.5,0.75,2,3,1,3.6086957,5.5,4.6111111
78,1,13,3,Pasteur,7,4.3333333,9.25,3.375,1.3333333,2.25,1.1428571,3.7391304,5.75,5.1666667
79,1,13,1,Pasteur,7,5,4.5,2.625,1.6666667,2.75,1.5714286,5.2608696,7.35,5.9722222
80,1,13,7,Pasteur,7,5,6,3.25,3.3333333,5.75,2.7142857,3.4782609,4.6,4.2777778
81,2,12,9,Pasteur,7,4.1666667,5.25,2.125,3,3.25,0.71428571,3.4782609,5.7,4.5833333
82,2,13,9,Pasteur,7,3.8333333,5.25,2.375,1.6666667,2.25,1,3.1304348,5.75,4.6666667
83,1,12,6,Pasteur,7,5.6666667,7,2.125,4,4.75,2.2857143,5.6521739,5.7,6.4722222
85,1,16,7,Pasteur,7,1.6666667,5.75,1.375,0,1.5,1.1428571,5.6956522,4,5.6388889
86,2,14,7,Pasteur,8,6.3333333,5.5,4.125,4,3.25,1.8571429,5.5652174,7.35,5.75
87,1,14,1,Pasteur,8,4,5.25,2.5,1,1.5,1.8571429,4.6956522,5.15,5.3333333
88,1,14,11,Pasteur,8,4.5,6,1.75,1.6666667,2,1.5714286,5.8695652,6.45,6.0277778
89,1,13,7,Pasteur,8,4.6666667,8,4.25,3,4.75,2.4285714,5.1304348,5.75,5.3055556
90,1,14,5,Pasteur,8,4.8333333,8.25,2.25,0.33333333,2.25,0.57142857,5.3478261,5.2,5.7777778
91,2,13,2,Pasteur,8,4.8333333,6.5,1.75,2.3333333,3.5,0.71428571,5.7826087,5.75,4.9722222
93,2,14,7,Pasteur,8,3,5.25,0.625,1,1.5,1,4.9565217,4.85,4.5833333
94,2,12,11,Pasteur,8,6.3333333,6.25,2.5,3.3333333,5.75,3.7142857,4.6086957,6.85,5.4722222
95,2,13,8,Pasteur,8,5.5,7,2.875,2.6666667,4,0.85714286,4.0869565,5.4,5.9722222
96,2,13,3,Pasteur,8,5.3333333,6,2.75,4,5,2.1428571,5.5217391,4.55,5.1388889
97,2,13,11,Pasteur,8,3.3333333,7.25,3.25,1.3333333,1.25,0.57142857,3.5652174,5.55,4.8888889
98,2,13,10,Pasteur,8,5.5,5,2.25,3.6666667,4.5,1.7142857,4.173913,5.95,6.6666667
99,1,13,10,Pasteur,8,4,6.5,2.625,2.6666667,2.75,1.8571429,6.6521739,7.5,5.4444444
100,2,14,0,Pasteur,8,3.8333333,6.25,3.375,2,3.75,0.42857143,5.3913043,7.8,6.1111111
101,1,15,4,Pasteur,8,5.1666667,4.75,2.125,1,2,1.5714286,3.5652174,6.4,5.7222222
102,1,13,8,Pasteur,8,4.3333333,3.5,0.875,2.6666667,3.25,1.1428571,3.6086957,4.8,3.9444444
103,1,14,10,Pasteur,8,4.1666667,5.5,0.875,4.6666667,4.75,2.1428571,4.1304348,5.35,3.7777778
104,1,13,8,Pasteur,8,5,5.75,4.25,4,4.25,2.4285714,3.5652174,3.6,5.4444444
105,1,13,4,Pasteur,8,4.3333333,4.75,0.5,3.3333333,5.75,2.8571429,5.5217391,5.85,4.2222222
106,2,13,2,Pasteur,8,7.5,7.5,2.125,5.3333333,6.75,2.7142857,5.1304348,5.55,7.2222222
108,2,13,11,Pasteur,8,5,3.75,1.375,1.6666667,2.75,1.4285714,5.5652174,6.1,4.6111111
109,1,13,4,Pasteur,8,5.5,6.25,2.75,3.6666667,4.5,3.2857143,4.9130435,5.15,5.75
110,1,15,3,Pasteur,8,6.1666667,3.75,4.375,2.6666667,3.25,1,4.2608696,5.3,6.25
111,2,13,10,Pasteur,8,6.5,6.5,1.875,3.6666667,3.75,1.7142857,4.5217391,4.4,6.5833333
112,1,13,3,Pasteur,8,4.3333333,7.75,1.875,4.3333333,4.5,1.8571429,5.8695652,6.25,4.1111111
113,1,13,4,Pasteur,8,4.6666667,5.25,1.625,3.3333333,4.5,2.8571429,3.826087,4.85,4.8333333
114,1,15,3,Pasteur,8,6.8333333,9,4.375,2.6666667,5.75,5,3,6.2,6.0277778
115,2,12,10,Pasteur,8,4.5,6.5,3.125,2.6666667,5.5,2.1428571,6.3478261,6.5,6.1666667
116,2,13,5,Pasteur,8,6.8333333,6.5,0.75,5.3333333,5.75,3.1428571,7.4347826,5.7,5.1944444
117,2,13,10,Pasteur,8,5.5,6.75,3.75,2.6666667,2.75,2,4.173913,6.8,7
118,2,14,5,Pasteur,8,6.3333333,5.5,1.625,5.6666667,5.5,4,5.6956522,6.4,7.5277778
119,2,13,3,Pasteur,8,4.1666667,4.25,2.25,3.3333333,3.5,1.4285714,4.4782609,4.15,3.3611111
120,1,13,4,Pasteur,8,5.6666667,9.25,4.375,3.6666667,4.75,3,3.2608696,3.9,4.8611111
121,2,13,1,Pasteur,8,6.3333333,5.25,2.625,4.3333333,4.25,1.5714286,2.8695652,6,5.4444444
122,1,13,4,Pasteur,8,6.1666667,6.25,4.25,5,3.5,1.8571429,4.5652174,5.35,5.4444444
123,2,14,0,Pasteur,8,5.1666667,6.5,1.75,4,5.25,1.8571429,4.6956522,4.3,6
124,1,14,5,Pasteur,8,4.1666667,7.5,3.875,1,2,0.85714286,3.5652174,3.95,6.3333333
125,2,13,1,Pasteur,8,4.1666667,5.75,1,3.6666667,4.75,1.8571429,4.826087,5.85,5.4166667
126,1,16,0,Pasteur,8,5.1666667,5.75,2.5,2.6666667,4.75,2.7142857,5.3043478,6.85,5
127,1,13,10,Pasteur,8,4.3333333,5.25,4,3,2.75,1,5.5652174,6.6,6.4444444
129,1,13,4,Pasteur,8,3.5,7.25,3.375,2.3333333,2.25,1.1428571,3.6956522,5.2,5.1666667
130,1,16,5,Pasteur,8,4.6666667,4.75,1.625,2.6666667,3.25,2,4.0869565,5.55,5.4444444
131,2,14,4,Pasteur,8,4.8333333,6,1.5,2.6666667,4.25,1.2857143,5.826087,6.4,6.8611111
132,1,15,1,Pasteur,8,5,5.5,2.375,3.3333333,3,2,4.6086957,6.4,3.3055556
133,2,14,4,Pasteur,8,7.5,7,4.25,4,6.5,3.5714286,3.7391304,7.6,6.5
134,2,15,8,Pasteur,8,5.3333333,5.25,4.125,2.3333333,3.75,1.5714286,3.6521739,5.35,4.7777778
135,1,14,5,Pasteur,8,6.1666667,6.75,4.125,3.3333333,5,2.8571429,5,6.9,6.3888889
136,2,15,4,Pasteur,8,5.3333333,8.75,3.125,4.3333333,4,1.1428571,4,6.95,5.6666667
137,2,13,11,Pasteur,8,4.3333333,7,1,4.3333333,5.5,3,5.1304348,5.65,4.9166667
138,2,13,11,Pasteur,8,4.8333333,7,1.125,3.3333333,5,2.2857143,4.9130435,5.25,4.9722222
139,2,13,4,Pasteur,8,6,7.5,3.25,3,6,2.4285714,3.3043478,5.1,5.7777778
140,1,14,1,Pasteur,8,5,4.5,1.625,2,2.75,0.57142857,4.5217391,6.25,6.3055556
142,1,13,11,Pasteur,8,4.1666667,8,4.375,4.3333333,6.25,3.1428571,4.5652174,7.8,7
143,2,14,1,Pasteur,8,5.6666667,5.5,3.5,4,4.25,2.2857143,7.2608696,6.35,7.1944444
144,2,15,3,Pasteur,8,5,6.25,1.75,1.3333333,2,0.57142857,4.9130435,6,4.8055556
145,2,13,6,Pasteur,8,3.5,5.25,2.25,2,3.75,1.8571429,4.6956522,5.25,3.7222222
146,1,14,7,Pasteur,8,7.3333333,8,2.625,2.6666667,5,2.4285714,3.4347826,6,6.1666667
147,1,13,4,Pasteur,8,6.1666667,7.5,3.625,4,6.25,2.5714286,4.3913043,5.85,6.1111111
148,1,13,10,Pasteur,8,4.8333333,5.25,4.5,4.3333333,5.75,2.8571429,3.3478261,5.1,5.4444444
149,1,13,2,Pasteur,8,5.6666667,6.25,2.75,3.3333333,5.25,2.1428571,4.4347826,5.15,4.5555556
150,2,14,2,Pasteur,8,5.5,6.75,4.5,2.3333333,4.5,2.5714286,6.2608696,6.55,6.8888889
151,2,14,7,Pasteur,8,5.1666667,5,2.5,3.3333333,5.75,3,6.4347826,8.3,7.0833333
152,2,14,0,Pasteur,8,3.1666667,3.75,1.5,3.3333333,5.75,2.2857143,6.0434783,5.25,6.2222222
153,2,14,9,Pasteur,8,5,7.5,4.5,2,1.5,0.42857143,3.3043478,5.25,5.7222222
154,1,15,0,Pasteur,8,7.1666667,9,3.875,3.6666667,5.25,4.7142857,3.826087,7.1,5.7777778
155,2,12,9,Pasteur,8,7.3333333,6.75,4,6,6.5,6.1428571,5.3478261,5.75,6.6111111
156,2,15,8,Pasteur,8,2,5.5,0.625,2.6666667,5,0.85714286,2.3913043,5.6,5.9722222
157,2,13,6,Pasteur,8,3.8333333,5.5,1.875,3.6666667,5,3,5.6086957,4.9,3.8611111
158,2,13,8,Pasteur,8,4.1666667,6,1.25,4,5,2.5714286,6.9565217,6.25,6.3055556
159,2,15,8,Pasteur,8,4.6666667,5.75,1.625,0.66666667,2.5,1.4285714,4.5217391,5,4.75
160,1,14,4,Pasteur,8,5.8333333,4.75,2.625,5.6666667,5.5,4.1428571,3.5652174,6.3,5.4722222
162,1,15,1,Pasteur,8,6.6666667,5.5,4.375,2.6666667,3.75,1,5.1304348,4.75,5.2222222
163,1,13,11,Pasteur,8,6.8333333,7.25,4.25,5,5.75,4.8571429,5.6521739,7.55,6.1666667
164,1,15,5,Pasteur,8,5.3333333,4.75,2.625,3,5.5,2.1428571,5.7826087,7.9,6.9444444
165,1,14,1,Pasteur,8,4.8333333,5,2.375,3,4.25,2.4285714,5.3913043,7.5,5.4166667
166,2,15,1,Pasteur,8,5.1666667,6,2.375,1.3333333,2.25,1.1428571,5.3913043,6.15,5.1944444
167,2,15,7,Pasteur,8,6.3333333,6.75,1.125,3,2.5,1.4285714,4.6956522,5.6,4.1388889
168,2,15,6,Pasteur,8,4.8333333,5.75,1.25,3,4.75,2.1428571,3.6086957,6.15,4.6944444
201,1,13,0,Grant-White,7,3.8333333,4.75,0.5,3.3333333,4.25,1.4285714,3,4.1,4.3333333
202,2,11,10,Grant-White,7,5.5,5.5,2.125,2.6666667,4.25,1.4285714,2.826087,4.9,5.4166667
203,1,12,6,Grant-White,7,5.6666667,6,2.75,3.6666667,4.75,2.7142857,2.173913,4.3,6.3333333
204,1,11,11,Grant-White,7,4.8333333,5.75,1.125,3,4.75,1.5714286,4.9565217,5.15,4
205,1,12,5,Grant-White,7,2.6666667,6.25,1.25,2.6666667,6.25,3.4285714,4.8695652,6.1,4.4444444
206,2,12,6,Grant-White,7,5,6.25,2.5,3.3333333,5.75,2.5714286,4.0869565,5.65,5.5833333
208,2,12,8,Grant-White,7,6,8.25,4.5,5.6666667,6.25,5.8571429,5.6086957,6.95,9.25
209,2,11,11,Grant-White,7,4.6666667,6.25,1.125,3.3333333,4.5,1.5714286,4.173913,4.75,4.8333333
210,2,12,5,Grant-White,7,5,6.25,1.375,3.6666667,5.25,1.1428571,4.4782609,5.7,5.4722222
211,2,12,5,Grant-White,7,3.3333333,6.25,0.75,3,5.25,2.2857143,3.8695652,5.05,4.9444444
212,1,12,0,Grant-White,7,4.5,6.5,0.75,3.3333333,4,1.8571429,3.826087,5.35,3.8055556
213,1,12,10,Grant-White,7,5.3333333,5.25,1,0.33333333,1.75,1.5714286,4.4782609,6.8,4.2777778
214,1,12,9,Grant-White,7,6.3333333,7.75,1.5,3.3333333,2.75,2,3.6086957,5.4,5.5833333
215,2,12,8,Grant-White,7,2.8333333,5.25,0.75,1.6666667,2.5,1.4285714,4.3043478,4.35,4.0833333
216,1,12,9,Grant-White,7,5.6666667,7,3,4.6666667,5.5,3.7142857,2.1304348,4.2,4.75
217,1,13,1,Grant-White,7,4.1666667,7.75,2.25,2.3333333,3,1.5714286,2.826087,4,3.4722222
218,2,12,1,Grant-White,7,5.5,7.75,3.75,3.6666667,5.75,2.5714286,2.8695652,5.65,5.1666667
219,1,13,1,Grant-White,7,6.6666667,5.75,2.5,3.3333333,5.75,5,3.1304348,5.2,6.1666667
220,2,12,7,Grant-White,7,5,5.5,2.5,2.6666667,4.25,2.8571429,4.1304348,5.5,4.4722222
221,2,12,1,Grant-White,7,6,7,2.75,4.3333333,6,5.1428571,3.5652174,5.15,5.6944444
222,1,12,9,Grant-White,7,4,4,1.75,1.6666667,4.25,1.5714286,4.6086957,4,3.2777778
223,1,12,8,Grant-White,7,6.6666667,6.5,3.25,4.3333333,6,3.5714286,3.826087,6.05,6.25
224,2,12,6,Grant-White,7,5,6,2.375,4.6666667,6.5,3.4285714,4.8695652,5.75,5.1388889
225,1,14,0,Grant-White,7,7,6.75,3.375,2.3333333,3.25,0.57142857,5.4782609,10,6.5555556
226,2,12,3,Grant-White,7,5.5,6.75,2,2.6666667,4.25,1.8571429,2.9565217,5.8,6.0833333
227,2,12,4,Grant-White,7,5.3333333,5.5,1.875,3,5,2.4285714,3.2173913,5.9,5.3055556
228,1,12,9,Grant-White,7,5.1666667,5.25,0.625,4.3333333,4.75,2.7142857,4.173913,6.05,5
229,2,14,7,Grant-White,7,4.5,5.75,0.5,3,2.75,1,2.3913043,5.9,4.9444444
230,1,13,2,Grant-White,7,5.1666667,5.75,1.375,1.3333333,4,2.2857143,3.5217391,6.4,5.25
231,1,12,5,Grant-White,7,5.1666667,8.5,0.375,3,4.75,2.4285714,2.2173913,4.6,5.0555556
232,2,12,0,Grant-White,7,2.8333333,7.5,1.625,3,4.25,1.8571429,2.2608696,4.7,3.9722222
233,1,12,0,Grant-White,7,5,5,1.625,3,5,3,4.6956522,5.65,5
234,1,12,6,Grant-White,7,4.6666667,4.75,1,3,3.5,2.8571429,3.5217391,5.8,4.4166667
235,1,13,2,Grant-White,7,3.1666667,5.5,1,1.6666667,3,0.57142857,2.173913,3.6,4.5
236,1,12,0,Grant-White,7,4.6666667,5,1.75,2.6666667,3.75,1.1428571,4.3478261,7.2,5.6944444
237,2,12,10,Grant-White,7,6.3333333,6.25,1.625,3,5.75,2.1428571,2.4347826,6.5,5.5
238,2,11,11,Grant-White,7,5.6666667,7,1.25,3,5.5,2.8571429,3.5217391,4.8,5.5277778
239,2,13,8,Grant-White,7,3,5.5,0.625,0.66666667,1,0.28571429,1.3043478,3.05,3.1111111
240,2,12,7,Grant-White,7,2.6666667,5,1,2,4.5,1.8571429,4.0434783,5.55,5.1388889
241,2,12,4,Grant-White,7,3,7.5,2.125,6.3333333,6,4.7142857,4,5.4,4.1111111
242,2,12,6,Grant-White,7,5.3333333,5.25,1.125,5,5,3.5714286,4.1304348,4.6,4.9444444
243,1,12,6,Grant-White,7,5.6666667,5.25,1.125,3,5.75,3.4285714,2.5217391,4.55,4.8055556
244,1,12,1,Grant-White,7,3.5,5.5,1,3,3,1.1428571,2.826087,4.2,3.8055556
245,2,12,9,Grant-White,7,4.6666667,5,1.75,2.6666667,4.5,1.4285714,2.6521739,5,5.9444444
246,2,12,3,Grant-White,7,6.5,6,3.125,4.6666667,4.25,1.5714286,3.5652174,5.2,6.7777778
247,2,12,4,Grant-White,7,5.3333333,6.5,1.25,3.6666667,5.75,3.2857143,2.6956522,4.15,3.9722222
248,2,12,10,Grant-White,7,4.6666667,6,1,2,2.5,1.4285714,2.6521739,3.85,4.4166667
249,1,12,5,Grant-White,7,4,5,2.75,3.6666667,4.75,2.5714286,3.0869565,4.7,4.2777778
250,2,11,11,Grant-White,7,5.1666667,4.75,1.625,2.6666667,5.5,2.4285714,2.6521739,3.5,3.3333333
251,2,12,8,Grant-White,7,4.8333333,6.5,3.125,3.3333333,5.5,2.5714286,3.6956522,6.4,5.6111111
252,1,11,11,Grant-White,7,4.8333333,7.5,1.875,2.3333333,4,1.7142857,2.7826087,3.7,4.5833333
253,1,14,1,Grant-White,7,2.6666667,5.75,0.625,2.3333333,5,1.8571429,4.1304348,6.4,3.8055556
254,2,12,4,Grant-White,7,4.1666667,6.25,3.25,1.6666667,1.75,0.71428571,2,3.6,3.3611111
256,1,13,2,Grant-White,7,4.1666667,6.75,1.875,2,4,1.8571429,3.7391304,4.95,5.9444444
257,2,12,3,Grant-White,7,6.1666667,7.75,2,4.6666667,7,2.8571429,3.826087,5.7,6.1944444
258,2,12,11,Grant-White,7,5,6.5,2.375,2.3333333,5.25,2,3.8695652,6.05,6.1666667
259,1,11,5,Grant-White,7,4.8333333,6,1.25,3,5.25,2.4285714,4.3478261,6.05,5.7222222
260,2,12,4,Grant-White,7,6.1666667,8.5,2.125,6,6,3.8571429,3.4782609,5.6,6.3611111
261,2,12,0,Grant-White,7,4.6666667,5,0.5,2.6666667,4.5,0.85714286,3.173913,4.2,4.4722222
262,1,13,11,Grant-White,7,3.6666667,8.5,2.375,3.3333333,4.25,2.1428571,3.4782609,5.05,5.1388889
263,2,12,4,Grant-White,7,6.3333333,5.25,2.25,6,6.5,4.4285714,5.2173913,5.45,5.6944444
264,1,12,9,Grant-White,7,4.8333333,5.25,2.25,2.3333333,4,1,2.9130435,4.4,5
265,1,12,10,Grant-White,7,4.1666667,6.25,3.75,3,4,2.2857143,4.6086957,6.35,4.8611111
266,2,13,7,Grant-White,7,4.6666667,6.75,1.625,1.6666667,1.5,0.57142857,4.3913043,5.3,4.7777778
267,1,13,2,Grant-White,7,3.8333333,5,2.25,2,3,0.85714286,1.8695652,5,4.0277778
268,2,14,0,Grant-White,7,1.8333333,5,1.125,4.3333333,4,2.1428571,3.173913,3.65,3.6111111
269,2,12,11,Grant-White,7,7.5,9.25,3.625,3.3333333,4,2.2857143,3.173913,5.05,6.1111111
270,2,13,0,Grant-White,7,3.1666667,3.75,0.875,5,4.75,2.7142857,4.3913043,5.6,3.2222222
271,2,12,8,Grant-White,7,6.8333333,5.25,1.375,3,4,2,5.3913043,5.95,6.1111111
272,1,12,3,Grant-White,7,5.8333333,7.5,4.125,2.6666667,3.75,1.7142857,3.9130435,6.3,6.7222222
273,2,12,0,Grant-White,7,5.6666667,6,2,3,3.5,1.4285714,3.8695652,5.8,6.5555556
274,1,13,2,Grant-White,7,3.1666667,5.5,1.5,3.3333333,4,2.4285714,5.1304348,5.8,7
275,1,12,7,Grant-White,7,4.1666667,5.25,1.875,2.6666667,4.25,2.4285714,2.9565217,4.1,4.7222222
276,1,11,4,Grant-White,7,6,7,4.125,5,6,5.5714286,3.5217391,5.2,5.8333333
277,2,14,0,Grant-White,7,3.1666667,5.75,0.75,2.3333333,3.25,2.7142857,2.9565217,4.85,4.1388889
278,2,12,9,Grant-White,7,4.5,5.25,0.875,3,4.75,3.1428571,3.826087,5.45,5.3055556
279,2,12,5,Grant-White,7,3.5,2.25,1.75,5,6.25,4.2857143,2.9565217,4.55,5.0277778
280,1,12,9,Grant-White,7,4.5,5.5,4,2.6666667,3.25,1.8571429,2.4347826,3.75,4.9166667
281,2,12,7,Grant-White,7,4.3333333,5.5,1,1.6666667,2.75,1.5714286,3.3043478,5.7,4.3333333
282,1,14,2,Grant-White,8,3.3333333,6.75,1.875,3,4.75,1.5714286,5.6521739,5.25,6.6944444
283,2,13,1,Grant-White,8,5.5,5.5,1.75,4.3333333,6.25,3.7142857,3.6521739,6.35,6.3888889
284,2,12,11,Grant-White,8,6.3333333,6.5,0.875,5.3333333,6.25,2.1428571,4.7391304,5.55,5.5555556
285,2,13,2,Grant-White,8,5.5,6.25,4.25,5,5.75,3,4.7391304,7.15,6.8333333
286,1,13,6,Grant-White,8,6,7.25,2,3,5.75,3.2857143,6.4782609,7.8,6.8611111
287,1,13,9,Grant-White,8,6.3333333,7.25,4.375,4.3333333,5.5,2.4285714,4.8695652,6.3,6.3055556
288,2,13,2,Grant-White,8,5.1666667,6.25,3.5,3.3333333,6.25,3.8571429,4.4782609,4.9,4.6666667
289,2,13,1,Grant-White,8,6,7,1.625,3.6666667,5.75,2.5714286,5.826087,5.1,6.2222222
